1,171,485,464,11580195,9617,0
2,A120+-+I+know+I+won%27t,519,464,11517608,2972,0
3,Angyl+Legacy%27s+village,521,532,11475381,1140,0
4,CyberFactory006,511,479,9224941,8828,0
5,034+Furwell%2C+Sleepyheads,525,410,849264030,10971,0
6,174,564,514,849015204,10578,0
7,332+Furwell%2C+Sleepyheads,537,419,849264030,10971,0
8,Barbarian+village,534,442,0,503,0
9,Barbarian+village,531,526,0,502,0
10,bye,482,443,11586210,7011,0
12,0204.5+Phalanx,507,448,848911256,10495,0
13,sold+by+own+tribe,512,566,849191720,9157,3
14,084,570,437,11479228,8683,0
15,011,504,541,7515136,1357,0
16,sold+by+own+tribe,489,525,849191720,1086,0
17,104,523,516,11580195,9653,0
18,126+WHERE+IS+HAROO,492,517,849206700,10311,0
19,A049,500,441,8575670,3865,0
20,Noble+Pollen+Madnuggets,481,540,849235409,10362,7
21,0054+Bad+man%3F%21,536,487,11391662,10495,0
22,019,465,517,849064241,10160,0
23,217,492,478,11580195,9744,0
24,0060+Are+you%3F,534,488,11391662,10495,0
25,057+Francis+Da+Stridsvagn,587,530,849206700,10311,0
26,Barbarian+village,464,486,849064241,1802,0
27,0420+Checkmate,437,435,10009699,10485,0
28,169,462,465,11580195,9978,0
29,HighGarden046,481,484,849281552,9346,0
30,sold+by+own+tribe,486,530,849191720,9359,0
31,CyberFactory054,509,486,9224941,10476,3
32,pembantu%27s+village,591,487,11372830,8648,0
33,348+Castling,482,505,11476286,10812,0
34,149+Borderline+Justice,495,515,849167654,8836,0
35,Noble+Pollen+Madnuggets,513,534,849235409,2929,0
36,127+WHERE+IS+MY+DR,494,517,849206700,10311,0
37,CyberFactory012,513,480,9224941,9272,0
38,125+Galactic+War,504,511,849167654,10311,0
39,002,510,501,11111389,4531,0
40,353+Castling,475,505,11476286,10812,0
41,NobleAttack,538,512,848941287,11111,0
42,069+Calling+Down+Reinforcements%21,517,513,849167654,10311,0
43,107+Welcome+to+the+Playground,524,505,849191748,10311,0
44,323+CALLING+IN+AN+EAGLE,421,461,849167654,10311,0
45,Barbarian+village,567,521,0,520,0
46,097+Dispense+Peace,514,511,849167654,10311,0
47,011,498,541,849277157,10000,0
48,014+Dean+sucks,587,533,849206700,10311,0
49,158+Welcome+to+the+Playground,501,497,849191748,10311,0
50,iControl%7E143%7E,574,547,11419976,4495,0
51,Noble+Pollen+Madnuggets,448,548,849235409,10019,0
52,206+PREPARE+TO+BE+LIBERATED,490,491,849167654,10311,4
54,00213+Liberate,524,563,1504759,6198,0
55,Barbarian+village,530,484,0,501,0
56,190,479,475,11580195,9778,0
57,0094,498,489,10293326,10559,8
58,Barbarian+village,532,478,0,501,0
59,033,486,558,849277157,10000,0
60,032+Ministry+of+Expansion,543,535,849167654,10311,8
61,0277+Checkmate,526,417,10009699,10485,0
62,CyberFactory077,479,488,9224941,9850,0
63,302+Welcome+to+the+Playground,536,511,849191748,10055,0
64,240+INCOMING+DEMOCRACY%21%21%21,485,482,849167654,10311,0
65,HighGarden025,513,491,849281552,10476,1
66,298+Welcome+to+the+Playground,537,508,849191748,10091,0
67,0202.8+Phalanx,505,449,848911256,10252,0
68,039+Polar+Patriots,545,519,849167654,10311,0
69,286,467,454,11580195,10234,0
70,167+Danglelow,475,509,849206700,10311,3
72,148,483,454,11580195,10126,0
73,053+Gloom+Research+Expedition,537,516,849167654,10311,0
74,CyberFactory116,458,477,9224941,3547,0
75,175,567,515,849015204,10595,3
76,297+Welcome+to+the+Playground,532,510,849191748,10067,0
77,Barbarian+village,512,441,0,501,0
78,bye,483,438,10009699,7782,9
79,0036,526,528,10293326,10559,0
80,020,487,537,849277157,10000,0
81,NobleAttack,541,518,848941287,11111,0
82,050-Barbarian+village,459,502,11311968,3656,0
83,219+INCOMING+DEMOCRACY%21%21%21,455,458,849167654,10311,7
84,098,520,517,11580195,10237,0
85,Bo+16,478,445,849137971,5989,0
86,087+Malevelon+Creek,516,513,849167654,10311,4
87,NobleAttacks,536,515,848941287,10532,0
88,0086,499,554,11380394,8681,0
89,NobleAttack,546,515,848941287,11111,0
90,Barbarian+village,441,480,0,514,0
91,NobleAttack,544,502,848941287,11111,0
92,Pis+na,507,435,849137971,1099,0
93,0107+Jel+tako+Professore%3F,527,494,11391662,10636,0
94,NobleAttack,554,488,848941287,11111,0
95,NobleAttack,546,510,848941287,11111,0
96,Taeyeon+NOBLE+INCOMING+028,471,540,849182062,10213,0
97,Barbarian+village,540,490,848902232,2627,0
98,Barbarian+village,520,561,0,501,0
99,Barbarian+village,545,516,0,503,0
100,Barbarian+village,525,548,0,507,0
101,132+Welcome+to+the+Playground,531,515,849191748,10311,0
102,HighGarden027,516,493,849281552,9686,0
103,175+South+Eisley+Mall,542,530,849167654,10311,0
104,040,473,489,849064241,10140,0
105,NobleAttack,540,511,848941287,11111,0
106,CyberFactory089,477,466,9224941,5103,0
107,iControl%7E005%7E,580,552,11419976,10495,0
108,tbd,497,540,849277157,9898,0
109,00260+Liberate+Bedroom,521,590,1504759,10208,0
110,Noble+Pollen+Madnuggets,559,539,849235409,1634,0
111,412+En+Passant,462,509,11476286,10812,0
112,NobleAttack,558,510,848941287,11111,0
113,356+Castling,480,512,11476286,10812,0
114,Barbarian+village,556,533,0,521,0
116,Barbarian+village,516,446,0,511,0
118,001+Vagabond,553,461,849263917,11321,0
119,00016+Power,526,591,1504759,9701,0
120,Barbarian+village,466,488,849064241,1536,0
121,Noble+Pollen+Madnuggets,449,528,849235409,10019,9
122,0129.8,511,593,11177776,10247,0
123,053,442,480,849206700,2149,0
124,0135.1,517,591,11177776,10247,0
125,Rohirrim,543,497,11245736,10728,0
126,016,568,525,11580195,9681,3
127,003+French+Defense,579,546,11476286,10812,0
128,NobleAttack,540,457,848941287,11111,0
130,Hanga+Roa.004,509,551,2307938,5400,0
131,Noble+Pollen+Madnuggets,465,523,849235409,10485,0
132,Barbarian+village,441,508,0,511,0
133,0132.9,515,590,11177776,10247,0
134,168+Can%27t+find+my+bag,512,496,849167654,10311,0
135,0186+Rde%C4%8Da+Murka,523,465,11391662,10471,2
136,CyberFactory036,522,482,9224941,8232,0
137,CyberFactory038,524,476,9224941,8026,0
138,043,477,523,849276494,3055,0
139,009,483,533,849064241,10495,0
140,0132+New+Dawn,528,481,11391662,10495,5
141,335+Castling,479,518,11476286,10812,0
142,013,491,549,849189892,10000,0
143,033,473,520,849064241,10495,0
144,Barbarian+village,536,503,0,563,0
145,Noble+Pollen+Madnuggets,475,524,849235409,10019,0
146,Noble+Pollen+Madnuggets,445,542,849235409,10019,0
147,NobleAttack,558,517,848941287,11111,8
148,005,477,526,849064241,10019,0
149,103+Autocannon,506,511,849167654,10303,0
150,053,465,521,849189892,10000,0
151,Barbarian+village,566,525,0,510,0
152,Noble+Pollen+Madnuggets,475,526,849235409,10083,0
153,156,475,499,849206700,10311,0
154,Taeyeon+NOBLE+INCOMING+021,480,527,849182062,10211,0
155,008,472,436,849280211,10220,0
156,125,495,517,849206700,10311,0
157,Barbarian+village,454,502,0,508,0
158,354+Castling,477,504,11476286,10812,0
159,195+CCS+-+Liberty+Optimized,482,498,849167654,10300,0
160,Noble+Pollen+Madnuggets,459,516,849235409,10485,0
161,320+Castling,488,508,11476286,10702,0
162,-059-,479,410,849284044,10495,0
163,Barbarian+village,523,456,0,507,0
164,-+029+Numenor+-,471,545,849283158,10139,2
165,Noble+Pollen+Madnuggets,478,526,849235409,10019,0
166,0252+Ljuta+Raj%C4%8Dica,444,510,11391662,10495,0
167,Noble+Pollen+Madnuggets,477,529,849235409,10019,0
168,099+C-01+Child+Permit,516,511,849167654,10311,0
169,Noble+Pollen+Madnuggets,476,524,849235409,10019,0
170,Ogulin+3,457,504,11538691,2843,0
171,018,574,444,849235277,10221,0
172,063,497,529,849277157,7636,0
173,006,485,537,849064241,10019,0
174,052,552,539,11580195,9701,0
175,129+The+thirteen+Colony,494,520,849206700,10311,0
176,A042,499,438,8575670,4285,0
177,Noble+Pollen+Madnuggets,474,540,849235409,10019,0
178,078+Jump+Pack,515,520,849167654,10311,0
179,Noble+Pollen+Madnuggets,465,516,849235409,10485,0
180,101+Tight-head+Prop,494,504,849206700,10311,0
181,146+Stage+Fright,541,451,849199118,10311,8
182,105+Open-side+Flanker,492,511,849206700,10311,0
183,Bjelin+1,458,505,11538691,1311,0
184,207+Mandatory+Attention,546,531,849167654,10311,8
185,045,483,543,849277157,10000,0
186,161+Welcome+to+the+Playground,506,492,849191748,10311,0
187,021.+Lukavac,528,530,849214162,10971,0
188,CyberFactory039,519,485,9224941,8019,0
189,141+Welcome+to+the+Playground,498,484,849191748,10311,4
190,0021,420,552,849142852,10188,0
191,Noble+Pollen+Madnuggets,457,530,849235409,10019,0
192,0050.2,436,563,11177776,10247,0
193,074-Barbarian+village,481,473,11311968,1012,0
194,Barbarian+village,540,527,0,522,0
195,LET+ME+CHILL,502,531,849096104,1832,0
196,00001+PRIME,530,584,1504759,9993,0
197,0210.3+Phalanx,509,463,848911256,10495,0
198,007,582,537,11580195,9783,0
199,NobleAttack,547,516,848941287,11111,0
200,0251+Ustaj+vojsko%21%21%21,497,447,11391662,9792,6
201,0057,571,557,10293326,10559,0
202,Barbarian+village,479,498,0,504,0
203,130+Marksman+Rifle,494,509,849167654,10311,0
204,Rohirrim,504,472,11245736,10728,0
205,0068+Stabla%C4%8Dka,530,482,11391662,10495,8
206,104+Blind-side+flanker,493,512,849206700,10311,0
207,185+FcipS16,453,467,849206700,10311,0
208,00013+COVENANT,531,580,1504759,6855,0
209,%7B055%7D,497,559,849274476,2518,0
210,Coruscant,590,500,7911630,9761,0
211,Barbarian+village,504,520,0,504,0
212,029+Still+waiting+for+David+dm,580,530,849206700,10311,0
213,220+INCOMING+DEMOCRACY%21%21%21,457,457,849167654,10311,0
214,014-Anura,534,579,849035195,9761,0
215,Barbarian+village,541,492,848902232,826,0
216,0117,447,493,10293326,10728,8
217,023+Super+Earth+Armed+Forces,569,555,849167654,10311,0
218,Barbarian+village,566,502,0,243,0
219,tbd,507,544,849277157,4321,1
220,Babylon,498,486,848960978,2452,0
221,Juntaburi,561,523,849235785,6821,0
222,0087,488,500,10293326,10559,3
223,176,552,572,849015204,10838,0
224,Bo+4,468,446,849137971,6529,0
226,NobleAttacks,551,505,848941287,4560,0
227,CyberFactory069,487,488,9224941,7726,0
228,NobleAttack,558,504,848941287,11111,0
229,0281+Frozen+Flowers,477,480,11391662,10971,0
230,Barbarian+village,515,498,0,502,0
231,A070+-+I%27d+give+you+the+moon,521,465,11517608,9805,9
232,001-+DarKness+Empire,584,470,9937147,10546,0
233,Barbarian+village,523,503,0,511,0
234,164+Spaceport+in+a+leotard,479,495,849167654,10311,2
236,Barbarian+village,535,441,0,507,0
237,024-+DarKness+Empire,591,490,9937147,10546,0
238,Barbarian+village,524,498,0,508,0
239,Bonus+village,517,445,0,502,7
240,016-+DarKness+Empire,570,440,9937147,10546,0
241,Hanga+Roa.006,512,557,2307938,9125,0
242,040+Furwell%2C+Sleepyheads,527,410,849264030,10971,0
243,sold+by+own+tribe,495,527,849191720,9086,0
244,003+Furwell%2C+Sleepyheads,521,413,849264030,10971,0
245,Noble+Pollen+Madnuggets,449,548,849235409,10019,0
246,tbd,496,537,849277157,10026,9
247,014+Furwell%2C+Sleepyheads,526,413,849264030,10971,0
248,0250+Go+sleep,492,452,11391662,8467,0
249,011+Furwell%2C+Sleepyheads,547,419,849264030,10971,0
250,Barbarian+village,553,529,0,501,0
251,0283+Checkmate,518,408,10009699,10485,0
252,005,471,523,849276494,10149,0
253,283+Furwell%2C+Sleepyheads,541,420,849264030,10971,0
254,240,486,450,11580195,9826,0
255,019,561,434,849235277,10220,0
256,Noble+Pollen+Madnuggets,476,526,849235409,10019,0
257,177,566,515,849015204,10595,3
258,Noble,572,440,849076422,10971,0
259,HighGarden049,490,493,849281552,4220,0
260,126,582,456,11479228,10687,0
261,HighGarden033,514,471,849281552,10411,0
262,0270+Checkmate,508,408,10009699,10485,0
263,Barbarian+village,528,490,0,508,0
264,166+Halp,480,496,849167654,10311,1
265,334+Furwell%2C+Sleepyheads,540,420,849264030,10971,0
266,Taeyeon+NOBLE+INCOMING+002,442,538,849182062,10218,0
267,001+I%27m+coming+home...Ace,513,407,849199118,10311,0
268,260+Lost+in+the+World,494,449,849199118,10311,0
269,603+Kings+Disease,444,471,11476286,10812,1
270,027,560,433,849235277,10232,0
271,Barbarian+village,522,530,0,503,0
272,340+Furwell%2C+Sleepyheads,549,420,849264030,10971,0
273,-+019+D%C3%B6bling+-,462,557,849283158,10144,0
274,032,550,539,11580195,9747,1
275,015+Furwell%2C+Sleepyheads,527,413,849264030,10971,0
276,249Noble+404+Apocalyptic+Endgame,453,488,849206700,9285,0
278,151,491,534,849206700,8762,0
279,025,560,431,849235277,10274,0
280,sold+by+own+tribe,455,489,849191720,9286,0
281,114-+DarKness+Empire,580,458,9937147,10546,0
282,255+INCOMING+DEMOCRACY%21%21%21,447,461,849167654,4433,0
283,NobleAttack,545,499,848941287,11111,9
284,026,577,446,11479228,10687,0
285,Noble+Pollen+Madnuggets,455,545,849235409,10019,0
286,029+Highcard,547,421,849199118,10311,0
287,Barbarian+village,437,511,0,501,0
288,210,514,426,11479228,10112,0
289,sold+by+own+tribe,501,534,849191720,9099,0
290,139+Welcome+to+the+Playground,525,507,849191748,10311,1
291,022+Furwell%2C+Sleepyheads,543,417,849264030,10971,0
292,0458+Checkmate,498,433,10009699,9972,0
293,309+Castling,485,512,11476286,10812,0
294,iControl%7E062%7E,568,499,11419976,9474,0
295,GN+Villa+019,455,421,849284030,10474,0
